name,category,address,working_hours,phone,website,services,lat,lon,id
Сибирь,cafe,"ул. Кожова, 1, Байкальск",вт-вс 10:00–23:00,+7 (395) 423-59-59,https://mariy10287.wixsite.com/cafesibir,Рестораны с Wi-Fi,51.5233101,104.1553536,cafe_0
Хамар-Дабан,cafe,"Иркутская область, Слюдянский район, Байкальское муниципальное образование, Р-258 Байкал, 144-й километр","ежедневно, 08:00–00:00","+7 (914) 933-91-08, +7 (914) 872-15-22",http://hamardaban.ru/,Летние кафе,51.5343733,105.9649087,cafe_1
Соболинка,cafe,"Байкальск, микрорайон Красный Ключ, 90","ежедневно, круглосуточно",,http://baikalski.net/,Рестораны с бизнес-ланчем,51.5139123,104.1218527,cafe_2
Уютный двор,cafe,"Иркутская область, Слюдянский район, Р-258 Байкал, 146-й километр","ежедневно, круглосуточно",+7 (950) 116-64-21,,Где взять кофе с собой,51.5158052,104.1367846,cafe_3
Бугель Вугель,cafe,"Байкальск, микрорайон Красный Ключ, 91Л","ежедневно, 08:00–23:00",+7 (904) 130-02-14,,Бары,51.5092224,104.120328,cafe_4
Юрта,cafe,"Придорожная ул., 2А, посёлок Солзан","ежедневно, 08:30–22:00",+7 (952) 628-64-07,,,52.2816279,104.2930724,cafe_5
Olimp,cafe,"Байкальск, микрорайон Гагарина, 202А","ежедневно, 11:00–05:00",+7 (950) 066-42-22,,Пабы,53.0394167,106.8364966,cafe_6
Мельница,cafe,"Байкальск, микрорайон Красный Ключ, 9","ежедневно, 09:00–23:00",+7 (914) 430-03-03,,,54.8467787,99.0782366,cafe_7
Высота 900,cafe,"Байкальск, микрорайон Красный Ключ, 91","ежедневно, 10:00–17:00",+7 (904) 130-01-46,http://baikalski.net/,,51.4977098,104.1085838,cafe_8
Петербург,cafe,"Байкальск, микрорайон Гагарина, 220","ежедневно, 12:00–23:00",,,Семейные кафе,51.5238848,104.1500357,cafe_9
Теремок,cafe,"ул. Гагарина, 70А, посёлок Солзан","ежедневно, 09:00–01:00",+7 (950) 050-35-55,,Рестораны,51.5079674,104.1469489,cafe_10
Сибирь,cafe,"Байкальск, микрорайон Гагарина, 7А","пн-чт 10:00–22:00; пт,сб 10:00–00:00; вс 10:00–22:00",+7 (993) 282-83-14,,,51.5233101,104.1553536,cafe_11
Оазис,cafe,"Байкальск, микрорайон Гагарина, 14","ежедневно, 17:00–05:00","+7 (924) 611-43-43, +7 (914) 956-33-31",,,56.3061143,101.7626875,cafe_12
Теремок,cafe,"ул. Гагарина, 70А, поселок Солзан","ежедневно, 09:00–21:00",,,,51.5079674,104.1469489,cafe_13
Успех,cafe,"Байкальск, микрорайон Гагарина, 212","ежедневно, 09:00–19:00",,,,51.5212126,104.1487232,cafe_14
Позная,cafe,"27А, микрорайон Южный, 3-й квартал, Байкальск",,,,Рестораны на крышах,52.2902576,104.2955729,cafe_15
Кафе,cafe,"Иркутская область, Слюдянский район, Байкальское муниципальное образование, особая экономическая зона туристско-рекреационного типа Ворота Байкала",,,,Рестораны китайской кухни,52.2290801,104.2958203,cafe_16
Полина,cafe,"Иркутская область, Слюдянский район, посёлок Утулик","ежедневно, круглосуточно",,,,51.5365183,104.05486,cafe_17
Сибирь,cafe,"ул. Гагарина, 50, поселок Солзан",,,,,51.5233101,104.1553536,cafe_18
Шашлычная,cafe,"Иркутская область, Слюдянский район, Байкальское муниципальное образование, Байкальск, канатная дорога Гора Соболиная","ежедневно, 11:00–17:30",,,Где позавтракать,51.5281876,104.146822,cafe_19
Магистраль,cafe,"Привокзальная ул., 15, Байкальск",,,,Тайские рестораны,51.5172013,104.1382829,cafe_20
Позная,cafe,"Байкальск, микрорайон Южный, 3-й квартал, 27А","ежедневно, 09:00–18:00",+7 (950) 074-64-39,,,52.2902576,104.2955729,cafe_21
Кочевник,cafe,Р-258 Байкал,"ежедневно, круглосуточно",,,,51.5146714,104.1396156,cafe_22
Хамар-Дабан,cafe,"Иркутская область, Слюдянский район, Байкальское муниципальное образование, Байкальск, садоводческое некоммерческое товарищество Строитель",,,,Рестораны на крышах,51.5343733,105.9649087,cafe_23
Виктория,cafe,"Иркутская область, Слюдянский район, Байкальское муниципальное образование, посёлок Солзан",,,,Таверны,52.0969175,104.3475345,cafe_24
Восточная кухня,cafe,Р-258 Байкал,,,,Рестораны с Wi-Fi,51.5146714,104.1396156,cafe_25
Кафе,cafe,"Иркутская область, Слюдянский район, Байкальское муниципальное образование, Байкальск",,,,,52.2290801,104.2958203,cafe_26
Медвежья берлога,cafe,"Иркутская область, Слюдянский район",,,,Рестораны китайской кухни,51.5171917,104.1410261,cafe_27
