id,name,functional_type,address,rating,lat,lon
1,Байкальский народный театр,Многофункциональный культурный центр,"Железнодорожная улица, 4а, Байкальск, Слюдянский район, Иркутская область, 665932",4.6,51.518943,104.140074
2,Смотровая площадка,Смотровая площадка,"Байкальск, Слюдянский район, Иркутская область",4.5,51.52408,104.162262
3,Смотровая площадка Обзорка Закатная,Смотровые площадки,"Байкальск, Слюдянский район, Иркутская область",4.9,51.527631,104.170427
4,Мурал Дом клубники,Арт-объект,"Парк Целлюлозников, микрорайон Гагарина, 28, Гагарина м-н, Байкальск, Слюдянский район, Иркутская область",5.0,51.520692,104.146614
5,Арт-объект Глубина,Арт-объект,"Байкальск, Слюдянский район, Иркутская область",4.8,51.523711,104.182076
6,Арт-объект Эко.цех,Арт-объект,"​Байкальск, Слюдянский район, Иркутская область",4.0,51.51718,104.189016
7,Байкальский целлюлозный завод,Промышленное предприятие,"​Байкальск, Слюдянский район, Иркутская область",5.0,51.519781,104.178262
8,Мурал У озера,Арт-объект,"Микрорайон Гагарина, 202, Гагарина м-н, Байкальск, Слюдянский район, Иркутская область",5.0,51.5189,104.156714
9,Храм Троицы Живоначальной,Церкви,"3-й квартал, 23, Байкальск, Слюдянский район, Иркутская область",,51.510905,104.14559
10,Граффити Пейзаж Байкальской природы,Арт-объект,"Байкальск, Слюдянский район, Иркутская область",,51.521014,104.156797
11,Граффити Тигр,Арт-объект,"Байкальск, Слюдянский район, Иркутская область",,51.516969,104.155189
12,Граффити Че Гевара,Арт-объект,"Байкальск, Слюдянский район, Иркутская область",,51.516896,104.155196
13,Декоративное сооружение Кот,Памятники и скульптуры,"Байкальск, Слюдянский район, Иркутская область",5.0,51.51591,104.155422
14,Декоративный объект Счастливые часов не наблюдают,Памятники и скульптуры,"Южный м-н, Байкальск, Слюдянский район, Иркутская область",,51.508341,104.141491
15,"Памятник Воинам, погибшим в боях за честь и свободу нашей родины",Памятники и скульптуры,"Татьянин сквер, Южный м-н, Байкальск, Слюдянский район, Иркутская область",5.0,51.50935,104.141424
16,Памятная доска Котову И.М.,Памятные доски,"Микрорайон Гагарина, 184, Гагарина м-н, Байкальск, Слюдянский район, Иркутская область",,51.517758,104.151782
17,Декоративный объект Старцы,Памятники и скульптуры,"Южный м-н, Байкальск, Слюдянский район, Иркутская область",,51.510308,104.140474
18,Памятный камень Знание - сила,Памятники и скульптуры,"Гагарина м-н, Байкальск, Слюдянский район, Иркутская область",5.0,51.519411,104.152409
19,Декоративный объект Туфля,Памятники и скульптуры,"Гагарина м-н, Байкальск, Слюдянский район, Иркутская область",,51.519567,104.14926
20,Декоративный объект Нотный стан,Памятники и скульптуры,"Парк Искусств, Гагарина м-н, Байкальск, Слюдянский район, Иркутская область",5.0,51.520478,104.153097
21,Памятный камень в строительство стадиона им. Великой Победы,Памятники и скульптуры,"Строитель м-н, Байкальск, Слюдянский район, Иркутская область",3.0,51.520316,104.140936
22,Мемориальная доска Александру Николаевичу Бабученко,Памятные доски,"Байкальск, Слюдянский район, Иркутская область",,51.519974,104.144597
23,Декоративное сооружение Дерево Любви,Памятники и скульптуры,"Байкальск, Слюдянский район, Иркутская область",5.0,51.519875,104.146604
24,Памятная доска С.А. Антончику,Памятные доски,"4-й квартал, 1, Южный м-н, Байкальск, Слюдянский район, Иркутская область",,51.509669,104.1417
25,Памятная доска Л.Е Вокину,Памятные доски,"4-й квартал, 1, Южный м-н, Байкальск, Слюдянский район, Иркутская область",,51.509691,104.141714
26,Памятная доска В. В. Шишкину,Памятные доски,"Микрорайон Гагарина, 10, Гагарина м-н, Байкальск, Слюдянский район, Иркутская область",,51.522457,104.152012
27,Декоративный объект Орёл,Памятники и скульптуры,"Гагарина м-н, Байкальск, Слюдянский район, Иркутская область",5.0,51.522625,104.149746
